time_ms	value
37.07862499868497	285.1037851037851
137.96775000810158	285.7142857142857
189.65887499507517	285.7142857142857
240.91987499559764	285.7142857142857
292.92320800595917	285.7142857142857
344.891540997196	285.7142857142857
397.0195000001695	285.7142857142857
448.5210410057334	285.7142857142857
500.7927499973448	285.7142857142857
552.7868750068592	285.7142857142857
604.9676249967888	285.7142857142857
656.2858329998562	285.7142857142857
708.5084999998799	285.7142857142857
760.2830830001039	285.7142857142857
811.5350000007311	285.1037851037851
863.3920410065912	285.7142857142857
915.276540996274	285.7142857142857
967.2146660013823	285.7142857142857
1019.0227499988396	285.7142857142857
1071.079916000599	285.7142857142857
1122.4707910005236	285.7142857142857
1174.7790410008747	285.7142857142857
1226.1375410016626	285.1037851037851
1277.8085000027204	285.7142857142857
1330.0402500026394	285.1037851037851
1381.922290995135	285.1037851037851
1434.121790996869	284.4932844932845
1486.091957995086	285.1037851037851
1538.179041002877	285.1037851037851
1590.2843750081956	285.1037851037851
1641.996125006699	285.1037851037851
1693.7160410016077	284.4932844932845
1744.9225000018487	284.4932844932845
1796.998457997688	284.4932844932845
1848.6502080049831	285.1037851037851
1900.7667910045711	284.4932844932845
1952.84095799434	284.4932844932845
2004.6422500017798	284.4932844932845
2056.0933749948163	284.4932844932845
2107.115833001444	284.4932844932845
2158.410207994166	284.4932844932845
2210.6648750050226	282.05128205128204
2262.830332998419	284.4932844932845
2315.025375006371	282.05128205128204
2367.34612500004	282.05128205128204
2419.368666000082	282.05128205128204
2471.391625003889	281.44078144078145
2523.4762909967685	283.8827838827839
2575.3947909979615	282.66178266178264
2626.8939160072478	284.4932844932845
2678.2820410007844	284.4932844932845
2730.2169580070768	285.1037851037851
2782.001665997086	284.4932844932845
2834.22133300337	284.4932844932845
2886.113165994175	284.4932844932845
2937.3382909980137	284.4932844932845
2989.5562080055242	284.4932844932845
3041.4007079962175	285.1037851037851
3092.9428749950603	284.4932844932845
3144.5062499988126	284.4932844932845
3196.8260830035433	284.4932844932845
3248.665874998551	284.4932844932845
3300.846124999225	284.4932844932845
3352.789833006682	284.4932844932845
3404.9205829942366	284.4932844932845
3456.9854580040555	284.4932844932845
3508.7174579966813	284.4932844932845
3560.371415995178	284.4932844932845
3611.6607500007376	284.4932844932845
3662.7561659988714	284.4932844932845
3715.056500004721	285.1037851037851
3767.433000000892	284.4932844932845
3819.47995799419	284.4932844932845
3871.3710000010906	285.1037851037851
3923.666125003365	285.1037851037851
3975.946250007837	285.1037851037851
4027.8133749961853	448.10744810744814
4079.500082996674	448.71794871794873
4130.9896250022575	448.10744810744814
4182.380291007576	448.71794871794873
4234.5043329987675	448.71794871794873
4286.563250003383	448.71794871794873
4338.716750004096	448.71794871794873
4390.238207997754	448.71794871794873
4441.747791002854	448.71794871794873
4493.573166007991	448.10744810744814
